,Topic,TimeQueried,Video_Title,Video_ID,Published_At,duration,viewCount,likeCount,dislikeCount,favoriteCount,score,commentCount,defaultAudioLanguage,Duration in Minutes,TimeQueriedSecondObservation,viewCountSecondObservation,likeCountSecondObservation,dislikeCountSecondObservation,commentCountSecondObservation
153,graph theory lectures,Thu Aug 20 02:48:35 2020,Part-8 | degree sequence of a graph in hindi example theorem algorithm valid graph theory,C2bwdO1vQcM,2017-11-26T04:12:55Z,16:27,94579,1796.0,19.0,0,2.2125497952679036,79.0,en,16.45,Fri Aug 21 15:00:39 2020,94653,1801.0,19.0,79.0
353,graph theory lectures,Thu Aug 20 02:50:27 2020,Part-18 | Practice problem on hamiltonian graphs euler graphs in hindi how to find identify example,PaF5STtgHU0,2017-12-11T01:51:29Z,8:47,101865,3321.0,20.0,0,2.2097681274739562,327.0,en,8.783333333333333,Fri Aug 21 15:01:22 2020,101926,3323.0,20.0,327.0
118,graph theory lectures,Thu Aug 20 02:48:19 2020,Directed Graphs in Discrete Mathematics | Directed Graph in hindi | directed graph in graph theory,I6rGXKbm1KI,2018-07-23T05:58:03Z,17:20,11120,186.0,13.0,0,2.1859283586290594,10.0,en,17.333333333333332,Fri Aug 21 15:00:32 2020,11132,186.0,13.0,10.0
301,graph theory lectures,Thu Aug 20 02:49:52 2020,basics of graph theory in hindi (lecture 1),gD8uQm_u6t0,2016-10-10T20:17:37Z,10:26,29645,256.0,14.0,0,2.1834035299893335,27.0,en,10.433333333333334,Fri Aug 21 15:01:09 2020,29646,256.0,14.0,27.0
441,graph theory lectures,Thu Aug 20 02:51:14 2020,Network Analysis Graph Theory - EC / EE,CCGjX9ympdA,2017-04-15T06:53:02Z,11:6,13934,149.0,19.0,0,2.180273357985107,15.0,en,11.1,Fri Aug 21 15:01:38 2020,13945,149.0,19.0,16.0
329,graph theory lectures,Thu Aug 20 02:50:11 2020,Graph Theory: 05. Connected and Regular Graphs,BEyuUXQs5ko,2014-10-23T10:41:11Z,8:30,91281,789.0,11.0,0,2.175926515700505,0.0,en,8.5,Fri Aug 21 15:01:16 2020,91315,789.0,11.0,0.0
237,graph theory lectures,Thu Aug 20 02:49:17 2020,Number of simple Graph possible with n vertices and e edges | Graph Theory | gate - part 11,7QFBpzzm7_U,2017-11-28T02:19:51Z,5:46,75247,902.0,11.0,0,2.1334071510717774,37.0,en,5.766666666666667,Fri Aug 21 15:00:55 2020,75327,902.0,11.0,37.0
195,graph theory lectures,Thu Aug 20 02:48:56 2020,Part-6 | Minimum Degree of a Graph in Graph Theory in hindi simple graph degree of a vertex in graph,j94vc827rrk,2017-11-25T02:31:13Z,11:34,101156,1800.0,14.0,0,2.1072502723977387,76.0,en,11.566666666666666,Fri Aug 21 15:00:47 2020,101231,1799.0,14.0,76.0
235,graph theory lectures,Thu Aug 20 02:49:16 2020,Operations on Graphs in Graph Theory | Intersection of graphs | graph theory discrete mathematics,WsAl59nhZX8,2018-12-11T14:00:07Z,16:26,7205,130.0,10.0,0,1.2047828753345817,4.0,en,16.433333333333334,Fri Aug 21 15:00:54 2020,7217,130.0,10.0,4.0
122,graph theory lectures,Thu Aug 20 02:48:20 2020,Part-9 | havel hakimi theorem graph theory in hindi example algorithm graph theory proof statement,07Q6N-WeaGM,2017-11-26T13:09:31Z,15:23,82861,1707.0,26.0,0,1.2009152021607146,108.0,en,15.383333333333333,Fri Aug 21 15:00:33 2020,82926,1709.0,26.0,108.0
82,graph theory lectures,Thu Aug 20 02:48:00 2020,Minimum Degree and Maximum Degree of a graph in Graph Theory in HINDI | discrete Mathematics GATE,1AWRMGM3Yiw,2018-07-27T06:30:02Z,15:23,4182,61.0,13.0,0,1.1804948972985747,3.0,en,15.383333333333333,Fri Aug 21 15:00:25 2020,4192,61.0,13.0,3.0
184,graph theory lectures,Thu Aug 20 02:48:49 2020,Part-20 | Practice problem complement of a graph in hindi graph theory discrete mathematics example,M0xA9P8QToU,2018-06-11T08:56:37Z,6:34,36800,604.0,6.0,0,0.2445651856028239,33.0,en,6.566666666666666,Fri Aug 21 15:00:45 2020,36831,604.0,7.0,33.0
56,graph theory lectures,Thu Aug 20 02:47:46 2020,Graph Theory Overview,82zlRaRUsaY,2015-04-18T15:00:00Z,4:22,100691,870.0,19.0,0,0.23838231928309922,21.0,en,4.366666666666666,Fri Aug 21 15:00:20 2020,100857,873.0,19.0,21.0
66,graph theory lectures,Thu Aug 20 02:47:52 2020,Arumugam - online course - graph theory,B-AJer-JV2k,2017-10-07T14:40:51Z,3:44,2409,50.0,0.0,0,0.21305228791792177,7.0,en,3.7333333333333334,Fri Aug 21 15:00:22 2020,2417,50.0,0.0,7.0
363,graph theory lectures,Thu Aug 20 02:50:33 2020,Isomorphic Graph Discrete Math | Isomorphic Graph in graph theory in HINIDI in Discrete Mathematics,C5gUT-UR04M,2018-12-14T14:00:05Z,16:7,4219,87.0,4.0,0,0.21239376851085248,8.0,en,16.116666666666667,Fri Aug 21 15:01:24 2020,4231,87.0,4.0,8.0
48,graph theory lectures,Thu Aug 20 02:47:42 2020,Graph Theory Discrete Mathematics | graph theory lecture | Discrete Mathematics for Computer Science,x_wVxIT1zE0,2018-07-20T14:00:05Z,16:31,9611,233.0,8.0,0,0.21218960695577183,6.0,en,16.516666666666666,Fri Aug 21 15:00:19 2020,9625,233.0,8.0,6.0
578,graph theory lectures,Thu Aug 20 02:52:26 2020,Graph Theory: 01. Seven Bridges of Konigsberg,eIb1cz06UwI,2014-10-15T21:02:41Z,12:28,198273,1876.0,25.0,0,0.211828137420464,0.0,en,12.466666666666667,Fri Aug 21 15:02:03 2020,198354,1878.0,25.0,0.0
294,graph theory lectures,Thu Aug 20 02:49:47 2020,"subgraph, walk, path, circuit in graph theory(lecture 3)",uobtEKJYVV8,2016-11-03T18:02:54Z,15:35,9862,71.0,9.0,0,0.21100357554337634,14.0,en,15.583333333333334,Fri Aug 21 15:01:07 2020,9862,71.0,9.0,14.0
