,Topic,TimeQueried,Video_Title,Video_ID,Published_At,duration,viewCount,likeCount,dislikeCount,favoriteCount,score,commentCount,defaultAudioLanguage,Duration in Minutes,TimeQueriedSecondObservation,viewCountSecondObservation,likeCountSecondObservation,dislikeCountSecondObservation,commentCountSecondObservation
449,competitive programming lectures,Thu Aug 20 03:30:09 2020,3.2 Job Sequencing with Deadlines - Greedy Method,zPtI8q9gvX8,2018-02-07T21:38:27Z,13:29,408792,4946.0,154.0,0,1.6667602012642475,271.0,en,13.483333333333333,Fri Aug 21 15:09:04 2020,409148,4954.0,154.0,271.0
500,competitive programming lectures,Thu Aug 20 03:30:24 2020,Weighted Job Scheduling Dynamic Programming,cr6Ip0J9izc,2015-03-08T00:44:42Z,7:13,133184,774.0,108.0,0,0.9997702629924122,133.0,en,7.216666666666667,Fri Aug 21 15:09:16 2020,133279,774.0,108.0,133.0
515,competitive programming lectures,Thu Aug 20 03:30:28 2020,My First Line of Code: Linus Torvalds,S5S9LIT-hdc,2015-06-16T12:41:38Z,2:13,1469477,25287.0,395.0,0,0.9783564546879331,1267.0,en,2.216666666666667,Fri Aug 21 15:09:18 2020,1471120,25329.0,398.0,1268.0
328,competitive programming lectures,Thu Aug 20 03:29:32 2020,Computer Organization and Architecture in Hindi Introduction  | computer organization gate | CO 01,NV9QD40vgLU,2018-02-15T14:16:38Z,7:42,180106,3282.0,139.0,0,0.1068393998035455,106.0,en,7.7,Fri Aug 21 15:08:41 2020,180343,3287.0,140.0,106.0
463,competitive programming lectures,Thu Aug 20 03:30:13 2020,Chapter 1: Introduction to C/C++ Programming (Hindi),YSbhxSY7yio,2017-03-10T20:27:55Z,12:14,66623,545.0,81.0,0,0.02545550806073773,34.0,en,12.233333333333333,Fri Aug 21 15:09:08 2020,66745,547.0,82.0,34.0
534,competitive programming lectures,Thu Aug 20 03:30:34 2020,Booth&#39;s Algorithm for Signed Multiplication,QFXaddi-Ag8,2018-03-30T09:56:41Z,14:32,204556,2285.0,117.0,0,0.016967833400199788,171.0,en,14.533333333333333,Fri Aug 21 15:09:22 2020,204935,2292.0,117.0,170.0
246,competitive programming lectures,Thu Aug 20 03:29:07 2020,The best software Interview material - Prepare in less than 3 months,bBPHpH8aKjw,2018-12-16T05:51:55Z,17:23,354945,10920.0,282.0,0,0.011812926210018029,516.0,en,17.383333333333333,Fri Aug 21 15:08:26 2020,355881,10952.0,282.0,516.0
470,competitive programming lectures,Thu Aug 20 03:30:15 2020,What Decides Our Success? - Sadhguru,9Kea0ac0XuE,2013-02-14T07:23:57Z,8:3,1932978,23534.0,587.0,0,0.00785526902615417,172.0,en,8.05,Fri Aug 21 15:09:10 2020,1933342,23550.0,587.0,172.0
71,competitive programming lectures,Thu Aug 20 03:28:16 2020,What is competitive programming? Why study algorithms and data structures?,Hn593_7rSwU,2020-04-27T14:24:30Z,4:45,1010,53.0,1.0,0,0.0016516795009437586,19.0,en,4.75,Fri Aug 21 15:07:49 2020,1011,53.0,1.0,19.0
216,competitive programming lectures,Thu Aug 20 03:28:59 2020,Exercise - #1 | which platform is best for competitive programming in hindi | sql in hindi,14-YUhmw-1E,2020-05-16T14:39:58Z,10:30,8,2.0,0.0,0,0.0014600048461404689,1.0,en,10.5,Fri Aug 21 15:08:20 2020,8,2.0,0.0,1.0
149,competitive programming lectures,Thu Aug 20 03:28:39 2020,How To Get Coding Blocks Paid Courses For Free | Now Get Upto 100% Discount On Coding Blocks Courses,G2xzC76LZmo,2020-06-07T14:03:00Z,4:55,7117,139.0,63.0,0,0.0006943885172786286,94.0,en,4.916666666666667,Fri Aug 21 15:08:07 2020,7181,140.0,63.0,94.0
8,competitive programming lectures,Thu Aug 20 03:27:58 2020,Top 3 Programming Languages for competitive programming ?,lgrF2J-O69A,2019-03-04T13:26:07Z,5:13,17120,457.0,5.0,0,0.0006392017805402874,53.0,en,5.216666666666667,Fri Aug 21 15:07:38 2020,17189,461.0,5.0,53.0
478,competitive programming lectures,Thu Aug 20 03:30:17 2020,Python Classes and Objects  ||  Python Tutorial  ||  Learn Python Programming,apACNr7DC_s,2017-06-14T02:51:01Z,10:32,650354,19077.0,417.0,0,0.0005556677907846458,899.0,en,10.533333333333333,Fri Aug 21 15:09:11 2020,651290,19090.0,417.0,899.0
532,competitive programming lectures,Thu Aug 20 03:30:33 2020,Polygon Filling Scan Line Algorithm,loJ4B58VD8U,2018-06-14T07:06:37Z,6:44,14501,91.0,50.0,0,0.00040511645686236615,10.0,en,6.733333333333333,Fri Aug 21 15:09:22 2020,14520,91.0,50.0,10.0
341,competitive programming lectures,Thu Aug 20 03:29:35 2020,Success Tips for Students in Hindi by Dr Vivek Bindra | Motivational Speech,cOiYJN1orr8,2017-05-20T16:19:34Z,4:37,4312761,115609.0,2464.0,0,-0.0007135881188732935,2201.0,en,4.616666666666666,Fri Aug 21 15:08:43 2020,4316205,115771.0,2466.0,2202.0
511,competitive programming lectures,Thu Aug 20 03:30:27 2020,"Monkey Climbing Slippery pole problem Logical Reasoning Puzzles | GATE, Placements, CAT",w_zMyfG073Q,2015-10-29T06:57:15Z,4:28,83281,558.0,84.0,0,-0.001314658345168215,38.0,en,4.466666666666667,Fri Aug 21 15:09:18 2020,83361,560.0,84.0,38.0
101,competitive programming lectures,Thu Aug 20 03:28:25 2020,"Lecture 1: Dynamic Programming Made Easy - DP states, Recurrence Relations",tb_14w_-mNw,2017-08-22T08:45:19Z,17:3,69505,802.0,98.0,0,-0.0018197228669694205,100.0,en,17.05,Fri Aug 21 15:07:56 2020,69673,804.0,98.0,100.0
368,competitive programming lectures,Thu Aug 20 03:29:44 2020,Computer Programming,HY91LyULIpY,2015-12-31T13:14:29Z,4:39,81438,511.0,99.0,0,-0.001867005237451069,39.0,en,4.65,Fri Aug 21 15:08:48 2020,81482,511.0,99.0,39.0
163,competitive programming lectures,Thu Aug 20 03:28:43 2020,What is Time Complexity Analysis? - Basics of Algorithms,fZc3ijGM0aM,2018-01-26T17:10:19Z,9:57,84041,1718.0,118.0,0,-0.0026951694109121566,167.0,en,9.95,Fri Aug 21 15:08:11 2020,84286,1724.0,118.0,167.0
189,competitive programming lectures,Thu Aug 20 03:28:50 2020,A general way to solve algorithm problems,vEq6vmKIJwo,2017-06-02T15:55:48Z,7:52,108602,2370.0,113.0,0,-0.004464623078227051,124.0,en,7.866666666666666,Fri Aug 21 15:08:15 2020,108868,2376.0,113.0,124.0
