,Topic,TimeQueried,Video_Title,Video_ID,Published_At,duration,viewCount,likeCount,dislikeCount,favoriteCount,score,commentCount,defaultAudioLanguage,Duration in Minutes,TimeQueriedSecondObservation,viewCountSecondObservation,likeCountSecondObservation,dislikeCountSecondObservation,commentCountSecondObservation
109,probability and statistics lectures,Thu Aug 20 02:58:51 2020,Area Under the Normal Probability Distribution - Statistics Lecture to Learn the Normal Distribution,g7FVtTvFUgM,2017-02-24T14:57:32Z,13:32,116430,1065.0,55.0,0,2.045688419843395,47.0,en,13.533333333333333,Fri Aug 21 15:04:15 2020,116501,1066.0,55.0,47.0
204,probability and statistics lectures,Thu Aug 20 02:59:39 2020,Probability(Random Variables) Part-A | Engineering Mathematics,VxlUj7iBCwM,2017-11-03T16:51:16Z,17:20,193718,1860.0,62.0,0,1.1980396140223226,125.0,en,17.333333333333332,Fri Aug 21 15:04:32 2020,193912,1861.0,62.0,125.0
238,probability and statistics lectures,Thu Aug 20 02:59:59 2020,Bayes theorem,HZGCoVF3YvM,2019-12-22T14:31:56Z,15:46,842807,38595.0,337.0,0,1.184997477989195,1916.0,en,15.766666666666667,Fri Aug 21 15:04:40 2020,845105,38678.0,337.0,1916.0
302,probability and statistics lectures,Thu Aug 20 03:00:36 2020,Student&#39;s t-test,pTmLQvMM-1M,2016-04-14T01:57:52Z,10:11,832703,12966.0,230.0,0,1.1812378301147568,603.0,en,10.183333333333334,Fri Aug 21 15:04:52 2020,833522,12981.0,230.0,603.0
16,probability and statistics lectures,Thu Aug 20 02:55:29 2020,Lesson 7 - Mathematical Expectation (Probability Tutor),MGWEghP5vQc,2016-08-19T00:58:56Z,4:1,13737,68.0,37.0,0,1.1763494668063055,8.0,en,4.016666666666667,Fri Aug 21 15:03:07 2020,13751,68.0,37.0,8.0
416,probability and statistics lectures,Thu Aug 20 03:01:40 2020,Introduction to Probability | Basic Probability | Algebra |  Math | LetsTute,GwNO0Af1dW8,2014-06-11T09:18:40Z,7:46,75758,153.0,41.0,0,1.1758127022769478,27.0,en,7.766666666666667,Fri Aug 21 15:05:15 2020,75770,153.0,41.0,27.0
381,probability and statistics lectures,Thu Aug 20 03:01:21 2020,Probability Problem Involving &#39; At Least &#39; and &#39; Complements &#39;,wnAaFiqIki0,2012-07-11T23:41:19Z,7:54,126927,477.0,49.0,0,1.1661688995326227,55.0,en,7.9,Fri Aug 21 15:05:08 2020,126959,479.0,49.0,55.0
411,probability and statistics lectures,Thu Aug 20 03:01:37 2020,Introduction to the Negative Binomial Distribution,BPlmjp2ymxw,2012-12-19T05:44:51Z,7:33,265406,2531.0,56.0,0,0.8233352103339016,198.0,en,7.55,Fri Aug 21 15:05:14 2020,265548,2534.0,56.0,198.0
336,probability and statistics lectures,Thu Aug 20 03:00:56 2020,Types of Sampling Methods (4.1),pTuj57uXWlk,2015-11-25T22:16:58Z,4:50,540931,4629.0,111.0,0,0.22052528278623632,108.0,en,4.833333333333333,Fri Aug 21 15:04:59 2020,541728,4641.0,111.0,109.0
174,probability and statistics lectures,Thu Aug 20 02:59:24 2020,"Aptitude Made Easy - Probability - Basics and Tricks - Part 1, Math Tricks for Govt Exams",lxm6ez2cx6Y,2017-04-28T08:57:23Z,8:54,1164385,13968.0,342.0,0,0.18379011746266075,498.0,en,8.9,Fri Aug 21 15:04:27 2020,1165868,14007.0,342.0,498.0
385,probability and statistics lectures,Thu Aug 20 03:01:23 2020,What Is Statistics: Crash Course Statistics #1,sxQaBpKfDRk,2018-01-24T19:17:29Z,13:0,930181,16332.0,378.0,0,0.18359482151129214,863.0,en,13.0,Fri Aug 21 15:05:09 2020,932257,16362.0,378.0,863.0
14,probability and statistics lectures,Thu Aug 20 02:55:21 2020,An Introduction to the Normal Distribution,iYiOVISWXS4,2012-12-23T08:29:48Z,5:27,521652,3169.0,89.0,0,0.18354839240344498,195.0,en,5.45,Fri Aug 21 15:03:04 2020,521988,3174.0,89.0,195.0
191,probability and statistics lectures,Thu Aug 20 02:59:33 2020,The Binomial Distribution: Crash Course Statistics #15,WR0nMTr6uOo,2018-05-09T21:58:57Z,14:15,182897,3178.0,107.0,0,0.18121029063285246,209.0,en,14.25,Fri Aug 21 15:04:30 2020,183074,3180.0,107.0,209.0
